Timestamp,Hey guys! I just saw that a penguin escaped.,I'm going out with the guys. You can deal with the penguins.,We're going to need to hire a Python guy to deal with our penguin problems.,This would never have happened if the Java guys were here.,That penguin is such a good guy,Those guys dealt with the penguin emergency so professionally.,I met a great Erlang guy the other day who knows how to deal with thorny penguin issues,Do you identify as a woman?,Unnamed: 10,???
2013-12-26 10:41:58,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,Chicago,
2013-12-26 10:42:13,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,gender neutral,No,NYC,
2013-12-26 10:42:32,gender neutral,just men,just men,just men,,gender neutral,just men,No,US - Indiana,
2013-12-26 10:42:59,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Chicago,
2013-12-26 10:43:48,gender neutral,gender neutral,just men,just men,gender neutral,gender neutral,just men,Yes,Oakland,
2013-12-26 10:45:04,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Pittsburgh,
2013-12-26 10:45:32,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Saint Louis,
2013-12-26 10:45:48,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 10:46:07,gender neutral,just men,just men,just men,just men,just men,just men,Yes,Pittsburgh,
2013-12-26 10:46:40,just men,just men,just men,just men,just men,just men,just men,No,England,
2013-12-26 10:46:56,gender neutral,gender neutral,just men,just men,gender neutral,gender neutral,just men,No,New York,
2013-12-26 10:47:28,gender neutral,gender neutral,just men,gender neutral,gender neutral,gender neutral,just men,No,Kathmandu,
2013-12-26 10:47:46,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,Yes,New York,
2013-12-26 10:48:58,gender neutral,just men,just men,just men,gender neutral,just men,just men,No,New York City,
2013-12-26 10:49:49,gender neutral,just men,just men,just men,just men,just men,just men,No,Netherlands,
2013-12-26 10:50:21,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 10:50:31,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,No,,
2013-12-26 10:50:38,gender neutral,just men,just men,just men,gender neutral,gender neutral,just men,Yes,Pittsburgh,
2013-12-26 10:50:58,just men,just men,just men,just men,gender neutral,just men,just men,No,Michigan ,
2013-12-26 10:50:58,gender neutral,gender neutral,just men,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 10:51:24,gender neutral,just men,just men,just men,gender neutral,just men,just men,No,San Francisco Bay Area,
2013-12-26 10:51:59,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,San Francisco,
2013-12-26 10:52:27,gender neutral,just men,just men,just men,just men,gender neutral,just men,Yes,SF,
2013-12-26 10:52:39,gender neutral,just men,just men,just men,just men,just men,just men,Yes,NYC,
2013-12-26 10:53:20,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,,
2013-12-26 10:53:22,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,Montreal,
2013-12-26 10:54:28,gender neutral,just men,just men,just men,gender neutral,just men,just men,No,,
2013-12-26 10:54:29,gender neutral,gender neutral,just men,gender neutral,just men,gender neutral,just men,No,uk,
2013-12-26 10:55:44,just men,just men,just men,just men,just men,gender neutral,just men,No,Madison,
2013-12-26 10:55:49,gender neutral,just men,just men,just men,just men,just men,just men,No,Kansas,
2013-12-26 10:55:55,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,Ontario,
2013-12-26 10:56:23,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,chicago,
2013-12-26 10:59:13,just men,just men,just men,just men,just men,just men,just men,Yes,US,
2013-12-26 10:59:19,gender neutral,just men,just men,gender neutral,gender neutral,gender neutral,just men,Yes,london,
2013-12-26 10:59:50,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Toledo,
2013-12-26 11:00:13,gender neutral,just men,just men,just men,just men,just men,just men,No,Ontario,
2013-12-26 11:00:27,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Leeds,
2013-12-26 11:00:49,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Seattle,
2013-12-26 11:01:21,gender neutral,just men,just men,just men,just men,gender neutral,just men,No,Chicago,
2013-12-26 11:01:52,gender neutral,just men,gender neutral,gender neutral,gender neutral,gender neutral,gender neutral,No,Ontario,
2013-12-26 11:02:41,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,San Fran Cisco,
2013-12-26 11:02:57,gender neutral,just men,gender neutral,gender neutral,just men,just men,just men,No,Germany,
2013-12-26 11:04:20,gender neutral,just men,gender neutral,gender neutral,just men,gender neutral,just men,No,,
2013-12-26 11:04:27,gender neutral,just men,just men,gender neutral,just men,gender neutral,just men,No,,
